Timestamp,Heart Rate (BPM),Blood Oxygen Level (%)
2025-06-14 00:00:00,98.29986398648244,89.79865379206723
2025-06-14 01:00:00,97.92023782569528,90.22523921611706
2025-06-14 02:00:00,98.32143342581564,90.64136981490232
2025-06-14 03:00:00,96.81614053881837,91.43513354361932
2025-06-14 04:00:00,92.5572670391169,91.97094535112865
2025-06-14 05:00:00,93.90739448797275,91.41844136011888
2025-06-14 06:00:00,93.18271884854475,92.2678490380003
2025-06-14 07:00:00,90.7141421646647,92.43845865041979
2025-06-14 08:00:00,88.48588613539067,91.10493547368422
2025-06-14 09:00:00,87.02032968589639,92.7824096167852
2025-06-14 10:00:00,85.59667873869162,93.05682369954977
2025-06-14 11:00:00,84.43269459239468,93.00385604039238
2025-06-14 12:00:00,83.96912629382027,94.78359329475822
2025-06-14 13:00:00,83.66611388227342,95.59378244217423
2025-06-14 14:00:00,85.44291597227149,94.8347983019847
2025-06-14 15:00:00,76.96466660205769,95.7472376671369
2025-06-14 16:00:00,80.28697569895242,96.14548419716598
2025-06-14 17:00:00,77.35630918176057,95.26149512066236
2025-06-14 18:00:00,78.8862509553506,95.63600138424285
2025-06-14 19:00:00,76.32851639127941,95.96162023894989
2025-06-14 20:00:00,71.11487664291245,97.55834747956605
2025-06-14 21:00:00,72.66676724939761,97.64826748363802
2025-06-14 22:00:00,70.03065778558877,98.47894185287642
2025-06-14 23:00:00,70.27486120853015,98.12028270403844
