Timestamp,Heart Rate (BPM),Blood Oxygen Level (%)
2025-06-14 00:00:00,67.39247451118854,96.02264540113889
2025-06-14 01:00:00,75.51693281441771,94.85610202060569
2025-06-14 02:00:00,75.19860292985528,95.96260224885202
2025-06-14 03:00:00,66.46283920390422,96.05134188422795
2025-06-14 04:00:00,69.59752529083137,96.84990308147988
2025-06-14 05:00:00,73.04104162290223,95.28900194498976
2025-06-14 06:00:00,66.52082221153131,96.55012040376313
2025-06-14 07:00:00,70.51499748593156,96.32714679042537
2025-06-14 08:00:00,78.05215034248317,96.34572666110934
2025-06-14 09:00:00,74.0800318349775,95.39649736647829
2025-06-14 10:00:00,78.46351955655727,97.38728988258336
2025-06-14 11:00:00,71.33313240720531,96.14187312801253
2025-06-14 12:00:00,74.92987463518277,97.480452476411
2025-06-14 13:00:00,66.61128651234299,96.5029570529126
2025-06-14 14:00:00,75.9852480923016,96.26871874260263
2025-06-14 15:00:00,74.10881068993827,96.14583459290512
2025-06-14 16:00:00,74.41764578113018,96.90407411122284
2025-06-14 17:00:00,77.19922296257498,95.53293383114936
2025-06-14 18:00:00,78.21876332351275,94.99026034650525
2025-06-14 19:00:00,80.23359306308879,95.780446621641
2025-06-14 20:00:00,73.83707240782853,97.32969151016516
2025-06-14 21:00:00,79.1321819408556,98.04033017745641
2025-06-14 22:00:00,68.43242039121704,96.80143945327573
2025-06-14 23:00:00,77.75704542503854,96.52667107444528
